season,driverId,points,position,wins
2010,vettel,256,1,5
2010,alonso,252,2,5
2010,webber,242,3,4
2010,hamilton,240,4,3
2010,button,214,5,2
2010,massa,144,6,0
2010,rosberg,142,7,0
2010,kubica,136,8,0
2010,michael_schumacher,72,9,0
2010,barrichello,47,10,0
2010,sutil,47,11,0
2010,kobayashi,32,12,0
2010,petrov,27,13,0
2010,hulkenberg,22,14,0
2010,liuzzi,21,15,0
2010,buemi,8,16,0
2010,rosa,6,17,0
2010,heidfeld,6,18,0
2010,alguersuari,5,19,0
2010,kovalainen,0,20,0
2010,trulli,0,21,0
2010,chandhok,0,22,0
2010,bruno_senna,0,23,0
2010,grassi,0,24,0
2010,glock,0,25,0
2010,yamamoto,0,26,0
2010,klien,0,27,0
2011,vettel,392,1,11
2011,button,270,2,3
2011,webber,258,3,1
2011,alonso,257,4,1
2011,hamilton,227,5,3
2011,massa,118,6,0
2011,rosberg,89,7,0
2011,michael_schumacher,76,8,0
2011,sutil,42,9,0
2011,petrov,37,10,0
2011,heidfeld,34,11,0
2011,kobayashi,30,12,0
2011,resta,27,13,0
2011,alguersuari,26,14,0
2011,buemi,15,15,0
2011,perez,14,16,0
2011,barrichello,4,17,0
2011,bruno_senna,2,18,0
2011,maldonado,1,19,0
2011,rosa,0,20,0
2011,trulli,0,21,0
2011,kovalainen,0,22,0
2011,liuzzi,0,23,0
2011,ambrosio,0,24,0
2011,glock,0,25,0
2011,karthikeyan,0,26,0
2011,ricciardo,0,27,0
2011,chandhok,0,28,0
2012,vettel,281,1,5
2012,alonso,278,2,3
2012,raikkonen,207,3,1
2012,hamilton,190,4,4
2012,button,188,5,3
2012,webber,179,6,2
2012,massa,122,7,0
2012,grosjean,96,8,0
2012,rosberg,93,9,1
2012,perez,66,10,0
2012,hulkenberg,63,11,0
2012,kobayashi,60,12,0
2012,michael_schumacher,49,13,0
2012,resta,46,14,0
2012,maldonado,45,15,1
2012,bruno_senna,31,16,0
2012,vergne,16,17,0
2012,ricciardo,10,18,0
2012,petrov,0,19,0
2012,glock,0,20,0
2012,pic,0,21,0
2012,kovalainen,0,22,0
2012,ambrosio,0,23,0
2012,karthikeyan,0,24,0
2012,rosa,0,25,0
2013,vettel,397,1,13
2013,alonso,242,2,2
2013,webber,199,3,0
2013,hamilton,189,4,1
2013,raikkonen,183,5,1
2013,rosberg,171,6,2
2013,grosjean,132,7,0
2013,massa,112,8,0
2013,button,73,9,0
2013,hulkenberg,51,10,0
2013,perez,49,11,0
2013,resta,48,12,0
2013,sutil,29,13,0
2013,ricciardo,20,14,0
2013,vergne,13,15,0
2013,gutierrez,6,16,0
2013,bottas,4,17,0
2013,maldonado,1,18,0
2013,jules_bianchi,0,19,0
2013,pic,0,20,0
