driverid,lap,position,time
vettel,1,1,2:03.366
alonso,1,2,2:05.394
massa,1,3,2:06.758
rosberg,1,4,2:08.063
hamilton,1,5,2:08.558
michael_schumacher,1,6,2:09.527
webber,1,7,2:09.956
button,1,8,2:10.721
liuzzi,1,9,2:11.473
barrichello,1,10,2:12.361
petrov,1,11,2:12.963
kobayashi,1,12,2:13.768
hulkenberg,1,13,2:14.245
rosa,1,14,2:14.907
alguersuari,1,15,2:15.479
kovalainen,1,16,2:17.386
buemi,1,17,2:18.065
glock,1,18,2:18.573
grassi,1,19,2:19.114
trulli,1,20,2:19.666
kubica,1,21,2:20.006
sutil,1,22,2:24.476
bruno_senna,1,23,2:27.750
chandhok,1,24,2:34.479
vettel,1,1,1:38.109
hamilton,1,2,1:40.573
webber,1,3,1:41.467
petrov,1,4,1:42.835
massa,1,5,1:44.196
button,1,6,1:44.722
rosberg,1,7,1:45.340
kobayashi,1,8,1:45.896
alonso,1,9,1:46.144
resta,1,10,1:47.562
buemi,1,11,1:51.121
sutil,1,12,1:51.520
heidfeld,1,13,1:52.091
perez,1,14,1:52.663
kovalainen,1,15,1:52.883
maldonado,1,16,1:53.209
trulli,1,17,1:54.113
ambrosio,1,18,1:54.641
glock,1,19,1:54.969
barrichello,1,20,1:54.971
alguersuari,1,21,2:13.879
michael_schumacher,1,22,2:41.428
button,1,1,1:39.264
hamilton,1,2,1:40.622
michael_schumacher,1,3,1:42.002
rosberg,1,4,1:42.666
vettel,1,5,1:43.029
grosjean,1,6,1:43.730
maldonado,1,7,1:44.212
alonso,1,8,1:44.733
webber,1,9,1:45.336
massa,1,10,1:46.714
kobayashi,1,11,1:46.880
perez,1,12,1:47.256
raikkonen,1,13,1:48.460
glock,1,14,1:50.819
resta,1,15,1:50.849
vergne,1,16,1:52.099
kovalainen,1,17,1:53.018
pic,1,18,1:55.732
petrov,1,19,1:55.829
bruno_senna,1,20,2:16.893
ricciardo,1,21,2:37.333
vettel,1,1,1:39.646
massa,1,2,1:41.714
alonso,1,3,1:42.073
hamilton,1,4,1:43.828
raikkonen,1,5,1:44.043
rosberg,1,6,1:44.529
webber,1,7,1:45.114
resta,1,8,1:45.675
button,1,9,1:46.360
sutil,1,10,1:46.947
grosjean,1,11,1:47.379
perez,1,12,1:48.097
bottas,1,13,1:48.866
vergne,1,14,1:49.716
maldonado,1,15,1:50.308
gutierrez,1,16,1:50.921
jules_bianchi,1,17,1:51.287
chilton,1,18,1:52.024
garde,1,19,1:52.131
ricciardo,1,20,1:52.854
pic,1,21,1:53.116
rosberg,1,1,1:42.038
ricciardo,1,2,1:43.549
kevin_magnussen,1,3,1:45.402
hamilton,1,4,1:46.128
hulkenberg,1,5,1:46.986
alonso,1,6,1:48.266
vergne,1,7,1:48.805
raikkonen,1,8,1:49.387
kvyat,1,9,1:49.503
bottas,1,10,1:49.766
button,1,11,1:50.328
sutil,1,12,1:53.369
ericsson,1,13,1:55.013
maldonado,1,14,1:56.505
vettel,1,15,2:00.977
chilton,1,16,2:05.520
grosjean,1,17,2:10.795
perez,1,18,2:36.707
gutierrez,1,19,2:41.894
jules_bianchi,1,20,14:01.218
hamilton,1,1,2:22.988
rosberg,1,2,2:24.350
massa,1,3,2:26.113
vettel,1,4,2:27.522
sainz,1,5,2:28.880
nasr,1,6,2:29.928
ricciardo,1,7,2:30.426
raikkonen,1,8,2:31.903
max_verstappen,1,9,2:32.685
hulkenberg,1,10,2:33.291
perez,1,11,2:33.942
button,1,12,2:34.851
ericsson,1,13,2:46.959
vettel,1,1,1:36.916
raikkonen,1,2,1:38.430
rosberg,1,3,1:39.316
max_verstappen,1,4,1:40.074
massa,1,5,1:41.024
hamilton,1,6,1:41.289
sainz,1,7,1:42.065
hulkenberg,1,8,1:43.434
ricciardo,1,9,1:43.776
alonso,1,10,1:44.547
perez,1,11,1:45.079
button,1,12,1:45.509
jolyon_palmer,1,13,1:46.255
wehrlein,1,14,1:46.978
ericsson,1,15,1:47.552
nasr,1,16,1:48.072
bottas,1,17,1:48.329
grosjean,1,18,1:49.379
haryanto,1,19,1:49.982
gutierrez,1,20,1:53.319
kevin_magnussen,1,21,3:00.423
hamilton,1,1,1:34.404
vettel,1,2,1:35.078
bottas,1,3,1:36.009
raikkonen,1,4,1:37.493
max_verstappen,1,5,1:38.375
massa,1,6,1:39.674
grosjean,1,7,1:40.716
sainz,1,8,1:41.891
perez,1,9,1:42.868
kvyat,1,10,1:43.910
alonso,1,11,1:44.745
hulkenberg,1,12,1:45.237
ocon,1,13,1:45.554
stroll,1,14,1:46.011
jolyon_palmer,1,15,1:46.279
vandoorne,1,16,1:46.762
giovinazzi,1,17,1:47.489
ericsson,1,18,1:59.379
kevin_magnussen,1,19,2:47.633
ricciardo,1,20,4:56.773
hamilton,1,1,1:34.233
raikkonen,1,2,1:35.474
vettel,1,3,1:36.194
kevin_magnussen,1,4,1:37.107
max_verstappen,1,5,1:37.684
grosjean,1,6,1:38.450
hulkenberg,1,7,1:39.077
ricciardo,1,8,1:39.600
sainz,1,9,1:40.565
alonso,1,10,1:41.528
vandoorne,1,11,1:41.951
perez,1,12,1:42.341
ocon,1,13,1:42.906
stroll,1,14,1:43.434
bottas,1,15,1:43.824
ericsson,1,16,1:44.674
gasly,1,17,1:45.060
leclerc,1,18,1:45.584
sirotkin,1,19,1:46.494
brendon_hartley,1,20,2:05.584
bottas,1,1,1:33.813
hamilton,1,2,1:34.887
vettel,1,3,1:35.626
max_verstappen,1,4,1:36.291
leclerc,1,5,1:37.042
kevin_magnussen,1,6,1:38.243
grosjean,1,7,1:39.116
hulkenberg,1,8,1:39.692
raikkonen,1,9,1:40.507
norris,1,10,1:41.117
albon,1,11,1:41.759
perez,1,12,1:42.296
stroll,1,13,1:42.777
sainz,1,14,1:43.203
kvyat,1,15,1:43.893
giovinazzi,1,16,1:44.675
gasly,1,17,1:45.008
russell,1,18,1:46.033
kubica,1,19,2:26.128
ricciardo,1,20,2:28.213
bottas,1,1,1:11.454
max_verstappen,1,2,1:13.501
norris,1,3,1:14.567
albon,1,4,1:15.104
hamilton,1,5,1:15.627
perez,1,6,1:16.326
leclerc,1,7,1:16.847
sainz,1,8,1:17.168
stroll,1,9,1:17.583
vettel,1,10,1:18.362
ricciardo,1,11,1:18.766
gasly,1,12,1:19.106
kevin_magnussen,1,13,1:19.587
giovinazzi,1,14,1:20.013
kvyat,1,15,1:20.360
ocon,1,16,1:20.678
raikkonen,1,17,1:20.781
grosjean,1,18,1:21.365
russell,1,19,1:21.596
latifi,1,20,1:22.200
max_verstappen,1,1,1:58.245
hamilton,1,2,1:59.538
leclerc,1,3,2:02.698
bottas,1,4,2:03.772
gasly,1,5,2:04.697
norris,1,6,2:06.744
ricciardo,1,7,2:08.545
alonso,1,8,2:10.373
stroll,1,9,2:12.396
sainz,1,10,2:14.282
raikkonen,1,11,2:16.372
giovinazzi,1,12,2:18.362
ocon,1,13,2:19.866
vettel,1,14,2:21.797
tsunoda,1,15,2:22.502
russell,1,16,2:24.364
latifi,1,17,2:25.219
mick_schumacher,1,18,2:26.524
perez,1,19,2:27.951
leclerc,1,1,1:39.070
max_verstappen,1,2,1:40.236
sainz,1,3,1:41.006
hamilton,1,4,1:41.555
kevin_magnussen,1,5,1:42.333
perez,1,6,1:42.993
russell,1,7,1:43.445
gasly,1,8,1:44.270
alonso,1,9,1:45.174
ocon,1,10,1:46.170
albon,1,11,1:47.636
tsunoda,1,12,1:48.128
mick_schumacher,1,13,1:48.826
bottas,1,14,1:49.195
hulkenberg,1,15,1:49.698
norris,1,16,1:50.088
stroll,1,17,1:50.439
latifi,1,18,1:51.134
zhou,1,19,1:51.374
ricciardo,1,20,1:51.601
