driverId,stop,lap,time,duration
alguersuari,1,1,17:05:23,26.898
michael_schumacher,1,1,17:05:52,25.021
webber,1,11,17:20:48,23.426
alonso,1,12,17:22:34,23.251
massa,1,13,17:24:10,23.842
barrichello,1,13,17:24:29,23.643
vettel,1,14,17:25:17,22.603
resta,1,14,17:26:03,24.863
ambrosio,1,14,17:26:50,25.259
buemi,1,15,17:27:34,25.342
heidfeld,1,15,17:27:41,22.994
hamilton,1,16,17:28:24,23.227
petrov,1,16,17:28:39,24.535
rosberg,1,16,17:29:00,23.716
kobayashi,1,16,17:29:06,24.064
sutil,1,16,17:29:08,25.978
trulli,1,16,17:29:49,24.899
button,1,17,17:30:24,16.867
alguersuari,2,17,17:31:06,24.463
kovalainen,1,17,17:31:11,24.865
michael_schumacher,2,17,17:32:08,23.988
glock,1,18,17:33:02,23.792
button,2,19,17:33:53,23.303
perez,1,23,17:40:27,23.438
barrichello,2,23,17:40:45,37.856
webber,2,26,17:44:29,22.520
alonso,2,27,17:46:04,24.733
barrichello,3,28,17:49:07,16.892
buemi,2,29,17:49:47,23.100
heidfeld,2,30,17:51:32,25.098
bruno_senna,1,1,17:05:23,24.599
ricciardo,1,1,17:05:35,32.319
massa,1,11,17:21:08,22.313
rosberg,1,12,17:22:31,23.203
alonso,1,13,17:24:04,22.035
kobayashi,1,13,17:24:20,25.346
resta,1,13,17:24:21,24.933
webber,1,14,17:25:41,23.302
kovalainen,1,14,17:26:12,24.397
button,1,16,17:28:30,23.275
vettel,1,16,17:28:41,24.256
maldonado,1,16,17:28:53,23.427
hamilton,1,17,17:30:12,22.862
petrov,1,18,17:32:32,24.579
raikkonen,1,19,17:33:43,24.881
vergne,1,19,17:33:54,23.203
glock,1,20,17:36:09,26.322
pic,1,21,17:37:59,25.303
ricciardo,2,22,17:39:23,23.257
perez,1,24,17:41:45,23.882
massa,2,28,17:48:15,22.528
bruno_senna,2,30,17:51:46,23.777
rosberg,2,31,17:52:34,23.017
resta,2,33,17:55:58,24.579
alonso,2,34,17:57:06,21.910
kovalainen,2,34,17:58:11,24.580
button,2,36,17:59:44,22.837
hamilton,2,36,17:59:54,23.464
kobayashi,2,36,18:00:33,24.162
pic,2,35,18:01:35,48.984
button,1,4,17:09:54,22.282
webber,1,5,17:11:28,24.240
grosjean,1,5,17:11:33,22.239
gutierrez,1,5,17:11:35,22.316
bottas,1,6,17:13:14,23.528
chilton,1,6,17:13:26,36.564
vettel,1,7,17:14:25,21.807
garde,1,7,17:15:07,24.104
massa,1,8,17:16:00,21.754
resta,1,8,17:16:13,23.010
pic,1,8,17:16:47,23.394
alonso,1,9,17:17:35,21.792
raikkonen,1,9,17:17:36,22.709
vergne,1,9,17:17:54,23.074
jules_bianchi,1,9,17:18:08,23.371
maldonado,1,10,17:19:36,23.099
hamilton,1,13,17:23:56,22.155
rosberg,1,14,17:25:35,22.274
ricciardo,1,15,17:27:32,23.435
perez,1,16,17:29:00,23.677
garde,2,16,17:29:58,23.834
webber,2,18,17:32:17,21.717
grosjean,2,19,17:33:53,22.133
chilton,2,19,17:34:48,30.838
alonso,2,20,17:35:01,21.606
button,2,20,17:35:24,23.571
sutil,1,21,17:36:31,22.693
vettel,2,21,17:36:32,22.704
massa,2,23,17:39:40,21.511
perez,2,23,17:40:25,22.004
grosjean,1,1,17:09:56,17.255
gutierrez,1,1,17:10:12,32.657
perez,1,1,17:10:14,25.541
bottas,1,10,17:24:46,34.921
button,1,11,17:26:02,22.411
perez,2,11,17:27:03,22.497
rosberg,1,12,17:27:27,24.331
ricciardo,1,12,17:27:37,22.994
kevin_magnussen,1,12,17:27:45,23.150
hulkenberg,1,12,17:27:51,22.615
alonso,1,12,17:27:55,22.887
raikkonen,1,12,17:28:02,25.543
vergne,1,12,17:28:02,23.124
kvyat,1,12,17:28:03,30.514
ericsson,1,23,17:48:18,23.238
chilton,1,24,17:49:56,24.209
jules_bianchi,1,20,17:54:48,23.821
grosjean,2,28,17:56:08,22.264
maldonado,1,29,17:57:57,22.847
gutierrez,2,30,17:59:29,23.797
button,2,32,18:02:01,22.399
